t,pid,x,y,z,vx,vy,vz
0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0
0,2,0,0,0,1,0,0.5
0,3,0,0,0,0.5,0.5,0
0.0314159,0,0.031408176878879084,-0.0004933584887266767,0,0.99950664151127333,-0.031408176878879084,0
0.0314159,1,0.00024672489079555866,0.031413988763136981,0,0.015706994381568491,0.99987663755460221,0
0.0314159,2,0.031408176878879084,0.0004933584887266767,0.015707963267948967,0.99950664151127333,0.031408176878879084,0.5
0.0314159,3,0.016185469070326416,0.015199481760686544,0,0.53039896352137306,0.46762906185934716,0
0.0628319,0,0.062785362776400927,-0.0019729471497099095,0,0.99802705285029014,-0.062785362776400927,0
0.0628319,1,0.00098683869001049652,0.062820226913326921,0,0.03141011345666346,0.99950658065499476,0
0.0628319,2,0.062785362776400927,0.0019729471497099095,0.031415926535897934,0.99802705285029014,0.062785362776400927,0.5
0.0628319,3,0.033293090781877061,0.029353030227216657,0,0.55870606045443327,0.43341381843624588,0
0.0942478,0,0.094100597290535715,-0.0044373060476982588,0,0.99556269395230179,-0.094100597290535715,0
0.0942478,1,0.0022201587931485259,0.09421096574989192,0,0.04710548287494596,0.99888992060342574,0
0.0942478,2,0.094100597290535715,0.0044373060476982588,0.047123889803846901,0.99556269395230179,0.094100597290535715,0.5
0.0942478,3,0.051255393543029104,0.042404824522892855,0,0.5848096490457857,0.39748921291394179,0
0.125664,0,0.12532298114773543,-0.0078840035579285407,0,0.99211599644207149,-0.12532298114773543,0
0.125664,1,0.003946380909441884,0.12557846039622053,0,0.062789230198110266,0.99802680954527911,0
0.125664,2,0.12532298114773543,0.0078840035579285407,0.062831853071795868,0.99211599644207149,0.12532298114773543,0.5
0.125664,3,0.070001534943484919,0.054303389033540865,0,0.60860677806708174,0.35999693011303013,0
0.15708,0,0.15642170669177163,-0.012309638765451266,0,0.98769036123454879,-0.15642170669177163,0
0.15708,1,0.0061650791369274403,0.15691497171062163,0,0.078457485855310816,0.99691746043153628,0
0.15708,2,0.15642170669177163,0.012309638765451266,0.078539816339744828,0.98769036123454879,0.15642170669177163,0.5
0.15708,3,0.089457581153142257,0.065001796424718969,0,0.63000359284943797,0.32108483769371543,0
0.188496,0,0.18736608828217283,-0.017709844820871158,0,0.98229015517912888,-0.18736608828217283,0
0.188496,1,0.008875706067527309,0.18821276819576321,0,0.094106384097881607,0.99556214696623635,0
0.188496,2,0.18736608828217283,0.017709844820871158,0.094247779607693788,0.98229015517912888,0.18736608828217283,0.5
0.188496,3,0.10954679851336716,0.074457852720742929,0,0.64891570544148591,0.28090640297326563,0
0.219911,0,0.21812559257226696,-0.024079293249191582,0,0.97592070675080844,-0.21812559257226696,0
0.219911,1,0.012077592922108051,0.21946412790622538,0,0.10973206395311269,0.99396120353894601,0
