t,x,y,z,vx,vy,vz
0,0,0,0,1,0,0
0.0628319,0.062769901662025923,-0.0019719746192797438,0,0.99802802538072022,-0.062769901662025923,0
0.125664,0.12529224201818745,-0.0078801211093208097,0,0.99211987889067921,-0.12529224201818745,0
0.188496,0.18732043613184393,-0.017701138040272499,0,0.98229886195972749,-0.18732043613184393,0
0.251327,0.24860984795405161,-0.031396291819888109,0,0.96860370818011188,-0.24860984795405161,0
0.314159,0.30891875515572248,-0.048911569456846569,0,0.9510884305431534,-0.30891875515572248,0
0.376991,0.36800930246822022,-0.070177891585248439,0,0.92982210841475155,-0.36800930246822022,0
0.439823,0.42564843977246558,-0.095111384910128438,0,0.90488861508987151,-0.42564843977246564,0
0.502655,0.48160884123677633,-0.1236137129994733,0,0.87638628700052668,-0.48160884123677639,0
0.565487,0.53566980187840774,-0.15557246411811787,0,0.84442753588188213,-0.53566980187840785,0
0.628319,0.58761810801280157,-0.19086159457392243,0,0.80913840542607751,-0.58761810801280168,0
0.69115,0.6372488781575345,-0.22934192582769641,0,0.77065807417230348,-0.63724887815753462,0
0.753982,0.68436637107448517,-0.27086169340629196,0,0.72913830659370793,-0.68436637107448528,0
0.816814,0.72878475776334084,-0.31525714545398237,0,0.68474285454601758,-0.72878475776334095,0
0.879646,0.77032885436174203,-0.36235318856146859,0,0.63764681143853141,-0.77032885436174214,0
0.942478,0.80883481306154281,-0.41196407832539766,0,0.58803592167460228,-0.80883481306154292,0
1.00531,0.84415076831624913,-0.46389415191486094,0,0.53610584808513906,-0.84415076831624924,0
1.06814,0.87613743579102521,-0.51793859975566692,0,0.48206140024433314,-0.87613743579102532,0
1.13097,0.90466866169303972,-0.57388427328890546,0,0.42611572671109466,-0.90466866169303994,0
1.19381,0.92963192031562136,-0.63151052561804444,0,0.36848947438195573,-0.92963192031562158,0
1.25664,0.9509287578339336,-0.69059008172908931,0,0.30940991827091091,-0.95092875783393382,0
1.31947,0.96847518060186244,-0.75088993485170141,0,0.24911006514829875,-0.96847518060186266,0
1.3823,0.98220198641869283,-0.81217226542607268,0,0.18782773457392749,-0.98220198641869305,0
1.44513,0.99205503745907553,-0.87419537905119715,0,0.12580462094880301,-0.99205503745907575,0
1.50796,0.99799547378986242,-0.93671465971531997,0,0.063285340284680233,-0.99799547378986264,0
