t,pid,x,y,z,vx,vy,vz
0,0,0,0,0,0.5,0,0
0,1,-0.29999999999999999,0,0,0,0.29999999999999999,0
0.0025,0,0.0012499980466339042,-1.5625952143897737e-06,0,0.4999984373071234,-0.001250076171511819,0
0.0025,1,-0.2999990906263369,0.00074999889738443346,0,0.00072749893046290045,0.2999991179075468,0
0.005,0,0.0024999882788389908,-6.25056639927593e-06,0,0.49999374845694577,-0.0025003007763971059,0
0.005,1,-0.29999636251052481,0.001499993384312258,0,0.0014549937191879372,0.29999647163471294,0
0.0075,0,0.0037499628797935691,-1.4064274859738042e-05,0,0.49998593230671667,-0.0037506659919725833,0
0.0075,1,-0.29999181566809524,0.0022499790503494937,0,0.0021824802244536064,0.29999206119507543,0
0.01,0,0.0049999140298433945,-2.5004062335719672e-05,0,0.49997498773314353,-0.0050011639888127204,0
0.01,1,-0.29998545012493394,0.0029999514851074163,0,0.002909954304571125,0.29998588661126263,0
0.0125,0,0.0062498339065503589,-3.9070250985231618e-05,0,0.49996091363242778,-0.0062517869307968359,0
0.0125,1,-0.29997726591728086,0.0037499062782651873,0,0.0036374118179007897,0.29997794791495425,0
0.015,0,0.00749971468474127,-5.6263143367673148e-05,0,0.49994370892030138,-0.0075025269751563903,0
0.015,1,-0.29996726309172989,0.0044998390195924816,0,0.0043648486228683395,0.29996824514688125,0
0.0175,0,0.0087495485365567255,-7.6583022427271718e-05,0,0.49992337253206276,-0.0087533762725224666,0
0.0175,1,-0.29995544170522881,0.0052497452989721154,0,0.0050922605779813159,0.29995677835682583,0
0.02,0,0.0099993276315000698,-0.00010003015147664159,0,0.49989990342261303,-0.010004326966973438,0
0.02,1,-0.29994180182507901,0.0059996207064226745,0,0.0058196435418454246,0.29994354760362135,0
0.0225,0,0.01124904413648645,-0.00012660477418046192,0,0.49987330056649187,-0.011255371196082824,0
0.0225,1,-0.29992634352893521,0.0067494608321211416,0,0.0065469933731808977,0.29992855295515219,0
0.025,0,0.012498690215891957,-0.00015630711453927461,0,0.49984356295791343,-0.012506501090967334,0
0.025,1,-0.29990906690480518,0.0074992612664255241,0,0.0072743059308388574,0.29991179448835381,0
0.0275,0,0.013748258031602852,-0.00018913737687340266,0,0.49981068961080205,-0.013757708776335106,0
0.0275,1,-0.29988997205104934,0.0082490175998974815,0,0.0080015770738176787,0.29989327228921253,0
0.03,0,0.014997739743064889,-0.00022509574580698919,0,0.49977467955882787,-0.015008986370534121,0
0.03,1,-0.29986905907638045,0.008998725423324954,0,0.0087288026612793567,0.29987298645276544,0
0.0325,0,0.016247127507332728,-0.00026418238625215787,0,0.49973553185544245,-0.016260325985600815,0
0.0325,1,-0.29984632809986317,0.0097483803277447871,0,0.0094559785525658684,0.2998509370831004,0
0.035,0,0.017496413479119424,-0.00030639744339329498,0,0.4996932455739142,-0.017511719727308878,0
0.035,1,-0.29982177925091347,0.010497977904465357,0,0.010183100607215542,0.29982712429335567,0
0.0375,0,0.018745589810846022,-0.00035174104267145386,0,0.49964781980736361,-0.018763159695218235,0
0.0375,1,-0.29979541266929821,0.011247513745089201,0,0.010910164684979429,0.29980154820572003,0
0.04,0,0.019994648652691224,-0.00040021328976888192,0,0.49959925366879848,-0.020014637982724213,0
