t,x,y,z,vx,vy,vz
0,0,0,0,1,0,0.5
0.0314159,0.031408176878879084,-0.0004933584887266767,0.016201443488003436,0.99950664151127333,-0.031408176878879084,0.53141592653589798
0.0628319,0.062785362776400927,-0.0019729471497099095,0.033389847416115809,0.99802705285029014,-0.062785362776400927,0.56283185307179595
0.0942478,0.094100597290535715,-0.0044373060476982588,0.051565211784337123,0.99556269395230179,-0.094100597290535715,0.59424777960769393
0.125664,0.12532298114773543,-0.0078840035579285407,0.070727536592667367,0.99211599644207149,-0.12532298114773543,0.6256637061435919
0.15708,0.15642170669177163,-0.012309638765451266,0.090876821841106556,0.98769036123454879,-0.15642170669177163,0.65707963267948988
0.188496,0.18736608828217283,-0.017709844820871158,0.11201306752965468,0.98229015517912888,-0.18736608828217283,0.68849555921538785
0.219911,0.21812559257226696,-0.024079293249191582,0.13413627365831174,0.97592070675080844,-0.21812559257226696,0.71991148575128583
0.251327,0.24866986863695298,-0.031411699207511308,0.15724644022707773,0.9685883007924887,-0.24866986863695298,0.7513274122871838
0.282743,0.27896877792047381,-0.039699827686385677,0.18134356723595266,0.96030017231361431,-0.27896877792047381,0.78274333882308178
0.314159,0.30899242397464111,-0.048935500648733268,0.20642765468493654,0.95106449935126669,-0.30899242397464111,0.81415926535897976
0.345575,0.33871118195816813,-0.059109605099243928,0.23249870257402935,0.94089039490075599,-0.33871118195816813,0.84557519189487773
0.376991,0.36809572786800376,-0.070212102076325958,0.25955671090323112,0.929787897923674,-0.36809572786800376,0.87699111843077571
0.408407,0.39711706747382397,-0.082232036557719934,0.2876016796725418,0.91776796344228007,-0.39711706747382397,0.90840704496667368
0.439823,0.42574656492713125,-0.095157548270005193,0.3166336088819614,0.90484245172999478,-0.42574656492713125,0.93982297150257166
0.471239,0.45395597101673252,-0.10897588339133296,0.34665249853148994,0.89102411660866698,-0.45395597101673252,0.97123889803846963
0.502655,0.48171745104271524,-0.12367340713583888,0.37765834862112746,0.87632659286416104,-0.48171745104271524,1.0026548245743676
0.534071,0.50900361228141855,-0.13923561720731772,0.40965115915087391,0.86076438279268219,-0.50900361228141855,1.0340707511102654
0.565487,0.53578753101429877,-0.15564715810888527,0.44263093012072929,0.8443528418911147,-0.53578753101429877,1.0654866776461631
0.596903,0.56204277909401934,-0.17289183629450774,0.47659766153069361,0.82710816370549223,-0.56204277909401934,1.0969026041820609
0.628319,0.5877434500215527,-0.1909526361474487,0.51155135338076685,0.80904736385255127,-0.5877434500215527,1.1283185307179586
0.659734,0.61286418450856284,-0.20981173676986686,0.54749200567094902,0.79018826323013314,-0.61286418450856284,1.1597344572538564
0.69115,0.63738019549984526,-0.22945052956699857,0.58441961840124013,0.77054947043300148,-0.63738019549984526,1.1911503837897541
0.722566,0.66126729263113548,-0.2498496366085742,0.62233419157164016,0.75015036339142582,-0.66126729263113548,1.2225663103256519
0.753982,0.68450190609815198,-0.27098892974935096,0.66123572518214913,0.72901107025064904,-0.68450190609815198,1.2539822368615496
0.785398,0.70706110991332216,-0.29284755048989547,0.70112421923276702,0.70715244951010447,-0.70706110991332216,1.2853981633974474
0.816814,0.72892264452724387,-0.31540393055801935,0.74199967372349385,0.68459606944198059,-0.72892264452724387,1.3168140899333451
0.84823,0.75006493879256042,-0.33863581319055946,0.7838620886543296,0.66136418680944054,-0.75006493879256042,1.3482300164692429
0.879646,0.7704671312485778,-0.36252027509450407,0.82671146402527429,0.63747972490549598,-0.7704671312485778,1.3796459430051407
0.911062,0.79010909070562241,-0.38703374906579524,0.87054779983632791,0.61296625093420487,-0.79010909070562241,1.4110618695410384
0.942478,0.8089714361088276,-0.41215204724348908,0.91537109608749045,0.58784795275651103,-0.8089714361088276,1.4424777960769362
0.973894,0.82703555566174936,-0.437850384976329,0.96118135277876193,0.56214961502367111,-0.82703555566174936,1.4738937226128339
1.00531,0.84428362519094213,-0.46410340527818161,1.0079785699101422,0.5358965947218185,-0.84428362519094213,1.5053096491487317
1.03673,0.86069862573337308,-0.49088520384820572,1.0557627474816316,0.50911479615179445,-0.86069862573337308,1.5367255756846294
1.06814,0.8762643603293222,-0.5181693546310655,1.1045338854932298,0.48183064536893466,-0.8762643603293222,1.5681415022205272
1.09956,0.89096547000419701,-0.54592893589196811,1.154291983944937,0.45407106410803205,-0.89096547000419701,1.5995574287564249
1.13097,0.90478744892349405,-0.57413655678079645,1.2050370428367532,0.42586344321920372,-0.90478744892349405,1.6309733552923227
1.16239,0.91771665870595154,-0.60276438435912594,1.2567690621686782,0.39723561564087428,-0.91771665870595154,1.6623892818282204
