t,pid,x,y,z,vx,vy,vz
0,0,0,0,0,0.5,0,0
0,1,-0.29999999999999999,0,0,0,0.29999999999999999,0
0.01,0,0.004999874940620235,-2.5005624546776958e-05,0,0.49997498812404706,-0.0050011249093553914,0
0.01,1,-0.29998545034224433,0.0029999294341598848,0,0.0029099315511350878,0.29998588683197697,0
0.02,0,0.0099992494061770798,-0.00010003249299714228,0,0.4998999049873219,-0.010004248780717671,0
0.02,1,-0.29994180269428267,0.0059995766107519824,0,0.0058195980411973845,0.2999435484864425,0
0.03,0,0.014997622346522533,-0.00022509808221026897,0,0.49977468308176881,-0.015008869061907669,0
0.03,1,-0.29986906103194733,0.008998659295379078,0,0.0087287344258667136,0.29987298843897675,0
0.04,0,0.019994492061610213,-0.00040021483525968051,0,0.49959925993576665,-0.020014481547974642,0
0.04,1,-0.29976723198134636,0.011996895299984638,0,0.011637075694329865,0.29977421248213537,0
0.05,0,0.024989356252041892,-0.00062539014515392011,0,0.49937357815056871,-0.025020580430873268,0
0.05,1,-0.29963632481844454,0.014994002506021977,0,0.014544356886038397,0.29964722872533223,0
0.06,0,0.029981712069976199,-0.0009006263390578305,0,0.49909758543629301,-0.030026658349908811,0
0.06,1,-0.29947635146847701,0.017989698887622016,0,0.017450313107471627,0.29949204759467524,0
0.07,0,0.0349710561703949,-0.0012259206630221141,0,0.49877123464744699,-0.035032206442947904,0
0.07,1,-0.29928732650519513,0.020983702534759167,0,0.020354679548906528,0.29930868183275494,0
0.08,0,0.039956884762721988,-0.0016012652672288145,0,0.49839448381797075,-0.040036714398392181,0
0.08,1,-0.29906926714994464,0.023975731676414869,0,0.023257191501196244,0.29909714649838554,0
0.09,0,0.044938693662790755,-0.0020266471917603332,0,0.497967296195783,-0.045039670507911564,0
0.09,1,-0.29882219327057585,0.026965504703738288,0,0.026157584372558954,0.29885745896629795,0
0.1,0,0.049915978345153739,-0.0025020483528995596,0,0.49748964027681364,-0.050040561719933707,0
0.1,1,-0.29854612738018615,0.029952740193203702,0,0.02905559370537877,0.29858963892678519,0
0.11,0,0.05488823399573034,-0.0030274455299686576,0,0.49696148983850691,-0.055038873693885867,0
0.11,1,-0.29824109463569415,0.032937156929764122,0,0.031950955193020388,0.29829370838529867,0
0.12,0,0.059854955564786774,-0.0036028103527140122,0,0.49638282397277944,-0.060034090855184991,0
0.12,1,-0.29790712283624576,0.035918473930000597,0,0.034843404696659155,0.29796969166199577,0
0.13,0,0.064815637820242758,-0.0042281092892447946,0,0.49575362711841658,-0.065025696450971504,0
0.13,1,-0.29754424242145183,0.038896410465266762,0,0.037732678262128241,0.29761761539123777,0
0.14,0,0.069769775401299305,-0.0049033036345325631,0,0.49507388909289174,-0.070013172606582116,0
0.14,1,-0.29715248646945724,0.041870686084828142,0,0.040618512136784628,0.29723750852103759,0
0.15,0,0.074716862872381717,-0.0056283494994792552,0,0.49434360512359171,-0.074996000382756334,0
0.15,1,-0.29673189069484135,0.044841020638995616,0,0.043500642786395469,0.29682940231245697,0
0.16,0,0.079656394777391837,-0.006403197800560893,0,0.49356277587843289,-0.07997365983357127,0
0.16,1,-0.29628249344634916,0.047807134302252662,0,0.046378806912046572,0.29639333033895199,0
